KISS, NSamp, grid_size, time, steps, mean_ll, ll_of_mean_f, loss
1, 10, 0, 115, 3200, 0.2557556629180908, 0.4925187110900879, -2.3076515197753906
1, 10, 8, 148, 4000, 0.03987546265125275, 0.2230815887451172, -1.40757584571838380
0, 10, 0, 109, 3000, 0.3791218280792236, 0.6025014400482178, -3.0308433771133423
1, 21, 8, 189, 5000, -0.018428495952061245, 0.16203828085036504, -0.6082862466573715
1, 21, 16, 42, 1100, 0.20499940145583379, 0.43892061142694383, -3.9568386077880860
0, 21, 0, 120, 3100, 0.21039985475086032, 0.5001819247291202, -4.178396224975586
1, 46, 8, 194, 5000, -0.016564523396284683, 0.1420633481896442, -0.29725421965122223
1, 46, 16, 195, 5000, 0.07097041088601817, 0.18411766964456308, -0.7340250015258789
1, 46, 32, 166, 3900, 0.19347758915113367, 0.4112290092136549, -5.8256158828735350
0, 46, 0, 75, 1700, 0.12073517882305643, 0.43841258339259936, -9.415716171264648
1, 100, 8, 203, 5000, 0.02692906856536865, 0.15932637214660644, -0.25263655185699463
1.0, 100, 16, 142, 3600, 0.16197078704833984, 0.3394553756713867, -2.43186092376709
1.0, 100, 32, 132, 3000, 0.06990894317626953, 0.35320674896240234, -3.2738866806030273
1.0, 100, 64, 144, 2800, 0.05276569366455078, 0.34695987701416015, -8.075971603393555
0.0, 100, 0, 93, 1400, -0.027168874740600587, 0.48246135711669924, -23.795391082763672
1.0, 215, 8, 224, 5000, 0.07412071671596793, 0.22807762678279433, -0.41596901416778564
1.0, 215, 16, 207, 4700, 0.1928183444710665, 0.4011112656704215, -2.5741004943847656
1.0, 215, 32, 191, 4000, 0.21477579516033793, 0.48779729798782706, -7.213753700256348
1.0, 215, 64, 88, 1600, 0.20606102167173873, 0.553668212890625, -18.33607292175293
1.0, 215, 128, 163, 1900, 0.2201664591944495, 0.5424844076467115, -35.28777313232422
0.0, 215, 0, 381, 2100, 0.09326353738474291, 0.5177363196084666, -46.54747772216797
1.0, 464, 8, 272, 5000, 0.016293221506579168, 0.16791394661212788, -0.37155675888061523
1.0, 464, 16, 258, 5000, 0.1526477912376667, 0.4435296880787817, -3.0841102600097656
1.0, 464, 32, 141, 2600, 0.16356471489215718, 0.43319935634218415, -6.021344184875488
1.0, 464, 64, 93, 1500, 0.00858493457580435, 0.4196850349163187, -11.611936569213867
1.0, 464, 128, 126, 1300, -0.013453510300866488, 0.5224740587431809, -33.07835006713867
1.0, 464, 256, 403, 1700, 0.26399063241892845, 0.5973314087966393, -65.7989501953125
1.0, 1000, 8, 332, 5000, -0.0006097153425216674, 0.15205587768554688, -0.266417920589447
1.0, 1000, 16, 303, 5000, 0.08941464233398437, 0.24693017578125, -0.570289134979248
1.0, 1000, 32, 132, 2100, 0.13273011779785157, 0.4209604187011719, -5.648738861083984
1.0, 1000, 64, 122, 1700, 0.13349159240722655, 0.515730224609375, -16.947521209716797
1.0, 1000, 128, 222, 2000, 0.15250674438476564, 0.524677978515625, -34.66893768310547
1.0, 1000, 256, 445, 1700, 0.17065762329101564, 0.5908858032226563, -72.0394287109375
1.0, 2154, 8, 498, 5000, 0.016078800212041913, 0.16029858035740194, -0.2332303524017334
1.0, 2154, 16, 455, 5000, 0.12445616655695073, 0.305202331826326, -1.3756895065307617
1.0, 2154, 32, 180, 2000, 0.13207681951637942, 0.4508568100499797, -6.468157768249512
1.0, 2154, 64, 140, 1400, 0.05756698721741346, 0.4804791208761316, -13.263296127319336
1.0, 2154, 128, 212, 1500, 0.17995215569144615, 0.5113913590086757, -33.279685974121094
1.0, 2154, 256, 603, 1800, 0.24782084090463963, 0.6074090105798805, -68.03526306152344
1.0, 4641, 8, 741, 5000, 0.049953793585493095, 0.18605433083690207, -0.39011049270629883
1.0, 4641, 16, 447, 3300, 0.07983069655145712, 0.2348229330794818, -1.1309702396392822
1.0, 4641, 32, 394, 3000, 0.12171830496020523, 0.42718657099257973, -6.176725387573242
1.0, 4641, 64, 209, 1500, 0.03016392009778671, 0.45026222628474466, -13.846246719360352
1.0, 4641, 128, 262, 1200, 0.035360413978542136, 0.4512483629269015, -23.389892578125
1.0, 4641, 256, 1587, 1700, 0.14943444700596584, 0.5928971648755657, -70.87075805664062
1.0, 10000, 8, 1285, 5000, 0.001151425552368164, 0.1617218017578125, -0.7048434019088745
1.0, 10000, 16, 1059, 5000, 0.1700560302734375, 0.3489130859375, -1.8383359909057617
1.0, 10000, 32, 422, 2000, 0.09447857666015624, 0.42520791015625, -5.90098762512207
1.0, 10000, 64, 433, 1600, 0.17035272216796876, 0.460501171875, -12.695236206054688
1.0, 10000, 128, 819, 1200, 0.0692114501953125, 0.492461962890625, -25.745906829833984
1.0, 10000, 256, 5286, 1500, 0.1785965087890625, 0.573564794921875, -64.02837371826172
1.0, 21544, 8, 2451, 5000, 0.009866468710745306, 0.16802458368266687, 0.1050603985786438
1.0, 21544, 16, 2034, 5000, 0.16820728119270448, 0.3417966483562709, -1.9156804084777832
1.0, 21544, 32, 1029, 2400, 0.09370749296860495, 0.4123577765271073, -5.424474716186523
1.0, 21544, 64, 964, 1600, 0.08612077545154684, 0.45960574144773486, -13.14556884765625
1.0, 21544, 128, 2605, 1200, 0.0073598315624601104, 0.48679691488929633, -28.383827209472656
1.0, 21544, 256, 14926, 1800, 0.25217303741035785, 0.59338737003342, -70.906982421875
1.0, 46416, 8, 5463, 5000, 0.013545893998197011, 0.16757981656379264, -0.5544483661651611
1.0, 46416, 16, 4892, 5000, 0.12744292108324715, 0.3309580748017925, -1.8026480674743652
